状態,棋士番号,棋士名,段位,生年月日,四段昇段日,五段昇段日,六段昇段日,七段昇段日,八段昇段日,九段昇段日,引退日,タイトル保持者
現役,217,田村康介,七段,1976-03-16,1995-10-01,2000-09-08,2005-06-08,2013-03-04,,,,
現役,218,堀口一史座,八段,1975-02-28,1996-04-01,1999-10-14,2002-10-01,2004-04-01,2022-12-15,,,
引退,219,中座真,八段,1970-02-03,1996-04-01,,,,,,,
現役,220,近藤正和,七段,1971-05-31,1996-10-01,2001-09-12,2007-07-19,2021-05-20,,,,
現役,221,野月浩貴,八段,1973-07-04,1996-10-01,2000-10-10,2004-04-01,2005-04-01,2017-01-20,,,
現役,222,木村一基,九段,1973-06-23,1997-04-01,1999-04-01,2001-12-17,2003-04-01,2007-04-01,2017-06-26,,
現役,223,小林裕士,八段,1976-09-29,1997-04-01,2001-04-01,2006-04-05,2011-10-12,2023-12-12,,,
現役,224,佐藤紳哉,七段,1977-08-29,1997-10-01,2003-01-24,2007-08-28,2015-12-17,,,,
引退,225,増田裕司,七段,1971-02-07,1997-10-01,2002-11-19,2009-09-11,2024-04-01,,,,
現役,226,髙野秀行,七段,1972-06-15,1998-04-01,2003-10-21,2011-02-22,2024-10-03,,,,
現役,227,山崎隆之,九段,1981-02-14,1998-04-01,2001-08-28,2004-11-18,2006-08-10,2013-07-27,2025-02-06,,
引退,228,伊奈祐介,七段,1975-12-18,1998-04-01,2004-08-13,2008-05-22,2019-10-23,,,,
現役,229,山本真也,六段,1971-10-24,1998-10-01,2004-11-05,2016-04-01,,,,,
引退,230,中尾敏之,六段,1974-10-24,1998-10-01,2007-05-09,2019-04-01,,,,,
現役,231,松尾歩,八段,1980-03-29,1999-04-01,2002-04-01,2006-04-21,2007-09-27,2015-07-02,,,
引退,232,金沢孝史,六段,1973-05-13,1999-04-01,2006-07-10,2023-04-01,,,,,
現役,233,阿久津主税,八段,1982-06-24,1999-10-01,2004-07-02,2007-08-03,2009-04-01,2014-02-13,,,
現役,234,安用寺孝功,七段,1974-08-30,1999-10-01,2005-11-15,2009-02-10,2021-01-26,,,,
現役,235,渡辺明,九段,1984-04-23,2000-04-01,2003-04-01,2004-10-01,2005-10-01,2005-11-17,2005-11-30,,7
現役,236,飯島栄治,八段,1979-09-16,2000-04-01,2004-09-07,2008-09-11,2010-10-22,2021-02-02,,,
現役,237,千葉幸生,七段,1979-02-11,2000-10-01,2004-04-01,2010-09-16,2018-02-06,,,,
引退,238,上野裕和,六段,1977-05-13,2000-10-01,2007-04-01,2019-04-01,,,,,
退会,239,橋本崇載,八段,1983-03-03,2001-04-01,,,,,,,
現役,240,佐々木慎,七段,1980-01-21,2001-04-01,2006-04-19,2012-02-22,2020-03-11,,,,
現役,241,宮田敦史,七段,1981-06-05,2001-10-01,2004-04-01,2010-09-03,2018-05-25,,,,
現役,242,村田智弘,七段,1981-04-02,2001-10-01,2007-06-19,2008-10-23,2019-12-18,,,,
現役,243,大平武洋,六段,1977-05-11,2002-04-01,2006-09-19,2016-01-08,,,,,
引退,244,熊坂学,六段,1977-05-17,2002-04-01,2011-04-01,2023-04-01,,,,,
引退,245,藤倉勇樹,六段,1979-10-23,2002-10-01,2012-04-01,2024-04-01,,,,,
現役,246,横山泰明,七段,1980-10-16,2002-10-01,2007-10-30,2012-12-07,2019-09-11,,,,
現役,247,島本亮,六段,1980-05-05,2003-04-01,2011-07-12,2024-07-10,,,,,
現役,248,西尾明,七段,1979-09-30,2003-04-01,2007-09-18,2011-04-21,2019-02-13,,,,
現役,249,村山慈明,八段,1984-05-09,2003-10-01,2007-12-14,2012-05-17,2014-03-13,2023-06-21,,,
現役,250,佐藤和俊,七段,1978-06-12,2003-10-01,2007-11-02,2014-03-24,2019-10-30,,,,
現役,251,片上大輔,七段,1981-08-28,2004-04-01,2006-10-10,2009-05-12,2018-07-18,,,,
現役,252,中村亮介,六段,1985-09-26,2004-04-01,2008-10-31,2016-09-01,,,,,
